garden,basement,elevator,balcony,floor (storey),nmbr of rooms,sq_meters,construction year,price,unemployment,Anteil Gruenenwaehler,Berlin,Duesseldorf,Frankfurt,Hamburg,Koeln,Muenchen,Stuttgart
True,False,True,True,3.0,3.0,73.3,2020.0,696300.0,1,3,0,0,1,0,0,0,0
False,False,True,True,-1.0,4.0,121.0,2006.0,698000.0,2,1,0,0,1,0,0,0,0
False,True,False,True,1.0,3.0,82.69,1900.0,699000.0,1,2,0,0,1,0,0,0,0
False,False,True,True,-1.0,2.0,59.8,2021.0,714800.0,1,3,0,0,1,0,0,0,0
True,False,True,False,4.0,3.0,92.0,2011.0,715000.0,1,1,0,0,1,0,0,0,0
True,True,True,False,4.0,3.0,90.5,2013.0,719000.0,1,1,0,0,1,0,0,0,0
False,True,True,True,2.0,4.0,123.0,1973.0,720000.0,1,2,0,0,1,0,0,0,0
False,False,True,True,-1.0,2.0,62.7,2021.0,721800.0,1,3,0,0,1,0,0,0,0
False,True,True,False,1.0,2.5,83.0,2021.0,725000.0,2,1,0,0,1,0,0,0,0
True,True,True,True,3.0,2.0,78.5,2021.0,730000.0,1,3,0,0,1,0,0,0,0
True,False,True,True,3.0,3.0,81.7,2020.0,731400.0,1,3,0,0,1,0,0,0,0
False,True,False,False,1.0,3.0,97.0,2016.0,739000.0,1,3,0,0,1,0,0,0,0
True,True,True,False,7.0,2.0,69.0,2011.0,740000.0,2,1,0,0,1,0,0,0,0
False,True,True,True,6.0,2.0,69.0,2014.0,740000.0,1,3,0,0,1,0,0,0,0
False,False,True,True,23.0,2.0,52.5,2022.0,745500.0,1,1,0,0,1,0,0,0,0
False,True,True,True,1.0,4.0,98.0,2006.0,746500.0,1,3,0,0,1,0,0,0,0
False,True,True,True,-1.0,3.0,81.0,2014.0,749000.0,1,3,0,0,1,0,0,0,0
False,True,True,True,4.0,3.0,81.0,2011.0,749000.0,1,1,0,0,1,0,0,0,0
False,True,True,True,4.0,2.5,92.6,2010.0,749800.0,2,1,0,0,1,0,0,0,0
False,True,True,False,2.0,3.0,104.28,2023.0,750000.0,2,1,0,0,1,0,0,0,0
False,True,True,True,2.0,3.0,75.0,2007.0,750000.0,1,1,0,0,1,0,0,0,0
False,True,False,True,3.0,4.0,114.0,1991.0,759000.0,3,3,0,0,1,0,0,0,0
False,True,True,True,-1.0,4.0,107.67,2004.0,759500.0,3,1,0,0,1,0,0,0,0
True,True,True,True,3.0,3.0,90.3,2021.0,760000.0,1,3,0,0,1,0,0,0,0
False,False,True,True,-1.0,2.0,75.2,2022.0,767000.0,1,1,0,0,1,0,0,0,0
True,False,False,True,2.0,4.0,126.48,2023.0,785000.0,3,1,0,0,1,0,0,0,0
False,False,True,True,21.0,2.0,60.8,2022.0,785600.0,1,1,0,0,1,0,0,0,0
False,True,False,True,1.0,3.0,104.0,2021.0,787500.0,1,1,0,0,1,0,0,0,0
